source_field,details
AdmissionStatusRefId,Admission status
AgreedBirthWeightGrams,"The first weight, in grams, of the live born or stillborn baby, obtained after birth r the weight of the neonate or infant on the date admitted if this is different from the date of birth"
AgreedBirthweightGroup,Agreed birth weight group
AgreedGestation,Agreed gestation in weeks
Agt_ARM,AGT ARM
Agt_Other,AGT other
Agt_Oxytocin,AGT Oxyocin
Agt_Prostagland,AGT Prostagland
AnaesthesiaOpDeliveryIndicator,"Whether anaesthesia is administered to the mother for, or associated with, the operative delivery of the baby (forceps, vacuum/ventouse or caesarean section)"
AnaesthesiaOpDeliveryRefId,Anaesthesia operation delivery
AnaesthesiaOpDeliveryType,The type of anaesthesia administered to a woman during a birth event
AnalgesiaLabourIndicator,Whether analgesia is administered to the woman to relieve pain during labour
AnalgesiaLabourTypeRefId,The type of analgesia administered to the woman during a birth event
Apgar_1Min,Minimum numerical score used to indicate the baby's condition at one minute after birth
Apgar_1Min_group,Minimum grouped score used to indicate the baby's condition at one minute after birth
Apgar_5Min,Minimum numerical score used to indicate the baby's condition at five minutes after birth
Apgar_5Min_group,Minimum grouped score used to indicate the baby's condition at five minutes after birth
ApgarScoreAt1Minute,Numerical score used to indicate the baby's condition at one minute after birth
ApgarScoreAt5Minutes,Numerical score used to indicate the baby's condition at five minutes after birth
ArrivedInAustraliaYear,#N/A
ArtificialReproductvTechIndRefId,Whether artificial reproductive technology (ART) was used to assist the current pregnancy
BabyBirthDate,The date of birth of the baby
BabyBirthDatetime,#N/A
BabyGenderId,#N/A
BabyIndigenousId,Indigenous status of baby
BabyLOS,Baby LOS
BabyPersonAddressId,#N/A
BabySCNandNICUAdmissionRefId,Whether the neonate is admitted into a special care nursery (SCN) or neonatal intensive care unit (NICU)
BabySeparationDate,Baby seperation date
BabySepStatusRefId,Baby seperation status
BabyTransferToCampusId,Campus Id for baby transfer
BabyTransferToHospLevel,Hospital transfer to baby transfer
BirthMethodRefId,The method of complete expulsion or extraction from the woman of a product of conception in a birth event
BirthOrder,Birth order
BirthPresentationRefId,Presenting part of the fetus (at the cervix) at birth
BirthSettingActualOther,BirthSettingActualOther
BirthSettingActualRefId,The actual place where the birth occurred
BirthSettingChangedIntentRefId,Whether the change of intent between where the mother intended to give birth and the actual birth setting took place before or during labour
BirthSettingChangeIntentRsnRefId,Reason for change of intent between where the mother intended to give birth and where the actual birth took place
BirthSettingIntentRefId,The intended place of birth
BirthStatusGroup,BirthStatusGroup
BirthStatusRefId,Status of the baby at birth
BirthStatusReportFinalRefId,Birth status report final
BreastfeedAttemptRefId,Whether the mother attempted to breastfeed the baby or express breast milk at least once
BW_Bracket,BW bracket
CampusId,Campus Id
CongenitalAnomaliesConcatenated,"Structural or anatomical abnormalities that are present at birth, in either a live born or stillborn baby. They may be detected during the pregnancy, at birth or days after. They may be multiple or isolated."
DeathDate,Death date
DeathFromCongAnomoliesRefId,Death from congenital animalies
DisciplineAntenatalCareProvRefId,The discipline of the clinician who provided most occasions of antenatal care
DisciplineIntrapartCareProvRefId,"The discipline of the clinician who, at the time of admission for the birth, is expected to be primarily responsible for making decisions regarding intrapartum care"
DueDate,Due date
EnglishSpeakingId,English speaking Id
EpisiotomyRefId,Whether an incision of the perineum and vagina was made
FetalMonitorRefId,Methods used to monitor the wellbeing of the fetus during labour
FinancialYear,Financial year
FormulaInHospitalRefId,"Whether any infant formula was given to this baby in hospital, whether by bottle, cup, gavage or other means"
GestationalAgeGroupRefId,Gestational age group
GestationDays,Gestation days
GestationWksFirstAntenatalVisit,"The number of completed weeks’ gestation at the time of the first antenatal visit (excluding a consultation for confirmation of pregnancy), as measured from the first day of the last normal menstrual period"
Gravidity,The total number of pregnancies including the current one
GravidityRefId,The total number of pregnancies including the current one
HeadCircumferenceCentimetres,The measurement of the circumference of the head of the baby
HepatitisBVaccineRefId,Whether the baby received an immunisation vaccine for hepatitis B during the birth admission
HospitalGroupRefId,Hospital group
HospLevel,Hospital
InductionAgent,Induction agent
InductionInd01,Induction indicator 01
InductionInd02,Induction indicator 02
InductionInd03,Induction indicator 03
InductionInd04,Induction indicator 04
InductionInd05,Induction indicator 05
InductionInd06,Induction indicator 06
InfluenzaVaccineStatusRefId,Whether or not the mother has received an influenza vaccine during this pregnancy
IRSD2011_SA1,IRSD2011_SA1
IRSD2011_SA2,IRSD2011_SA2
IRSD2016_SA1,IRSD2016_SA1
IRSD2016_SA2,IRSD2016_SA2
LabourBirthEvents01,Labour birth event 01
LabourBirthEvents02,Labour birth event 02
LabourBirthEvents03,Labour birth event 03
LabourBirthEvents04,Labour birth event 04
LabourBirthEvents05,Labour birth event 05
LabourBirthEvents06,Labour birth event 06
LabourBirthEvents07,Labour birth event 07
LabourBirthEvents08,Labour birth event 08
LabourBirthEvents09,Labour birth event 09
LabourBirthEvents10,Labour birth event 10
LabourBirthEvents11,Labour birth event 11
LabourDurationMinutes,Duration of labour in minutes
